fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5
8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6
6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.13333333,7
6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3
6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,6
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.2,0.25,0.39,1.3,0.051,42,135,0.9906,3.23,0.4,11.1,6
6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6
7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7
6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7
6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6
6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,6
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2,6
5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,6
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5
5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,4
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,6
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7
6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,5
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,6
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6
6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5
6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,7
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
